method,model_size,seed,acc_mode,retained,data_label,label_class,elicited,loss,compute_ratio,source
baseline,200M,seed_5,heterogeneous,code-lisp+core+papers-biology+papers-cyber+papers-nuclear,code-lisp,retain,False,0.9845218062400818,1.0,accumulation/base/200M/seed_5/acc_mode_heterogeneous/stats.jsonl
baseline,200M,seed_5,heterogeneous,code-lisp+core+papers-biology+papers-cyber+papers-nuclear,core,core,False,2.2036125659942627,1.0,accumulation/base/200M/seed_5/acc_mode_heterogeneous/stats.jsonl
baseline,200M,seed_5,heterogeneous,code-lisp+core+papers-biology+papers-cyber+papers-nuclear,papers-biology,retain,False,2.7819020748138428,1.0,accumulation/base/200M/seed_5/acc_mode_heterogeneous/stats.jsonl
baseline,200M,seed_5,heterogeneous,code-lisp+core+papers-biology+papers-cyber+papers-nuclear,papers-cyber,retain,False,3.0381436347961426,1.0,accumulation/base/200M/seed_5/acc_mode_heterogeneous/stats.jsonl
baseline,200M,seed_5,heterogeneous,code-lisp+core+papers-biology+papers-cyber+papers-nuclear,papers-nuclear,retain,False,3.1197800636291504,1.0,accumulation/base/200M/seed_5/acc_mode_heterogeneous/stats.jsonl
baseline,200M,seed_5,uniform,code-lisp+core+papers-biology+papers-cyber+papers-nuclear,code-lisp,retain,False,1.180306315422058,0.40521343136386173,accumulation/base/200M/seed_5/acc_mode_uniform/stats.jsonl
baseline,200M,seed_5,uniform,code-lisp+core+papers-biology+papers-cyber+papers-nuclear,core,core,False,2.216226577758789,0.9537589549636974,accumulation/base/200M/seed_5/acc_mode_uniform/stats.jsonl
baseline,200M,seed_5,uniform,code-lisp+core+papers-biology+papers-cyber+papers-nuclear,papers-biology,retain,False,2.8101983070373535,0.9186462943149901,accumulation/base/200M/seed_5/acc_mode_uniform/stats.jsonl
baseline,200M,seed_5,uniform,code-lisp+core+papers-biology+papers-cyber+papers-nuclear,papers-cyber,retain,False,3.08467173576355,0.86216947365071,accumulation/base/200M/seed_5/acc_mode_uniform/stats.jsonl
baseline,200M,seed_5,uniform,code-lisp+core+papers-biology+papers-cyber+papers-nuclear,papers-nuclear,retain,False,3.160919189453125,0.873299280524738,accumulation/base/200M/seed_5/acc_mode_uniform/stats.jsonl
grmoe,200M,seed_5,heterogeneous,code-lisp+core,code-lisp,retain,False,0.9444129467010498,1.2321778289269472,accumulation/grmoe/200M/seed_5/acc_mode_heterogeneous_factor_1.0/stats.jsonl
grmoe,200M,seed_5,heterogeneous,code-lisp+core,core,core,False,2.205706834793091,0.9921499590121798,accumulation/grmoe/200M/seed_5/acc_mode_heterogeneous_factor_1.0/stats.jsonl
grmoe,200M,seed_5,heterogeneous,code-lisp+core,papers-biology,forget,False,2.8454346656799316,0.827604614570378,accumulation/grmoe/200M/seed_5/acc_mode_heterogeneous_factor_1.0/stats.jsonl
grmoe,200M,seed_5,heterogeneous,code-lisp+core,papers-cyber,forget,False,3.0698049068450928,0.90376204206768,accumulation/grmoe/200M/seed_5/acc_mode_heterogeneous_factor_1.0/stats.jsonl
grmoe,200M,seed_5,heterogeneous,code-lisp+core,papers-nuclear,forget,False,3.184152603149414,0.8096798922942715,accumulation/grmoe/200M/seed_5/acc_mode_heterogeneous_factor_1.0/stats.jsonl
grmoe,200M,seed_5,heterogeneous,core,code-lisp,forget,False,1.3546708822250366,0.20691396983336463,accumulation/grmoe/200M/seed_5/acc_mode_heterogeneous_factor_1.0/stats.jsonl
grmoe,200M,seed_5,heterogeneous,core,core,core,False,2.2048730850219727,0.9952667512156318,accumulation/grmoe/200M/seed_5/acc_mode_heterogeneous_factor_1.0/stats.jsonl
grmoe,200M,seed_5,heterogeneous,core,papers-biology,forget,False,2.8447282314300537,0.8293264477177433,accumulation/grmoe/200M/seed_5/acc_mode_heterogeneous_factor_1.0/stats.jsonl
grmoe,200M,seed_5,heterogeneous,core,papers-cyber,forget,False,3.0690629482269287,0.9058956292696092,accumulation/grmoe/200M/seed_5/acc_mode_heterogeneous_factor_1.0/stats.jsonl
grmoe,200M,seed_5,heterogeneous,core,papers-nuclear,forget,False,3.18351674079895,0.811351022198159,accumulation/grmoe/200M/seed_5/acc_mode_heterogeneous_factor_1.0/stats.jsonl
grmoe,200M,seed_5,heterogeneous,core+papers-biology,code-lisp,forget,False,1.3541117906570435,0.20732500253893277,accumulation/grmoe/200M/seed_5/acc_mode_heterogeneous_factor_1.0/stats.jsonl
grmoe,200M,seed_5,heterogeneous,core+papers-biology,core,core,False,2.2054107189178467,0.9932556565857348,accumulation/grmoe/200M/seed_5/acc_mode_heterogeneous_factor_1.0/stats.jsonl
grmoe,200M,seed_5,heterogeneous,core+papers-biology,papers-biology,retain,False,2.7577710151672363,1.0758480440907614,accumulation/grmoe/200M/seed_5/acc_mode_heterogeneous_factor_1.0/stats.jsonl
grmoe,200M,seed_5,heterogeneous,core+papers-biology,papers-cyber,forget,False,3.06965708732605,0.9041866670153945,accumulation/grmoe/200M/seed_5/acc_mode_heterogeneous_factor_1.0/stats.jsonl
grmoe,200M,seed_5,heterogeneous,core+papers-biology,papers-nuclear,forget,False,3.178884267807007,0.8236419359587716,accumulation/grmoe/200M/seed_5/acc_mode_heterogeneous_factor_1.0/stats.jsonl
grmoe,200M,seed_5,heterogeneous,core+papers-cyber,code-lisp,forget,False,1.354888916015625,0.20675395467360141,accumulation/grmoe/200M/seed_5/acc_mode_heterogeneous_factor_1.0/stats.jsonl
grmoe,200M,seed_5,heterogeneous,core+papers-cyber,core,core,False,2.2039997577667236,0.9985433884802536,accumulation/grmoe/200M/seed_5/acc_mode_heterogeneous_factor_1.0/stats.jsonl
grmoe,200M,seed_5,heterogeneous,core+papers-cyber,papers-biology,forget,False,2.843989372253418,0.8311316525725572,accumulation/grmoe/200M/seed_5/acc_mode_heterogeneous_factor_1.0/stats.jsonl
grmoe,200M,seed_5,heterogeneous,core+papers-cyber,papers-cyber,retain,False,3.0227980613708496,1.0507085420205613,accumulation/grmoe/200M/seed_5/acc_mode_heterogeneous_factor_1.0/stats.jsonl
grmoe,200M,seed_5,heterogeneous,core+papers-cyber,papers-nuclear,forget,False,3.1806159019470215,0.8190235306382433,accumulation/grmoe/200M/seed_5/acc_mode_heterogeneous_factor_1.0/stats.jsonl
grmoe,200M,seed_5,heterogeneous,core+papers-nuclear,code-lisp,forget,False,1.3553344011306763,0.20642749820782474,accumulation/grmoe/200M/seed_5/acc_mode_heterogeneous_factor_1.0/stats.jsonl
grmoe,200M,seed_5,heterogeneous,core+papers-nuclear,core,core,False,2.2068710327148438,0.9878163306238193,accumulation/grmoe/200M/seed_5/acc_mode_heterogeneous_factor_1.0/stats.jsonl
grmoe,200M,seed_5,heterogeneous,core+papers-nuclear,papers-biology,forget,False,2.842331647872925,0.835198069051354,accumulation/grmoe/200M/seed_5/acc_mode_heterogeneous_factor_1.0/stats.jsonl
grmoe,200M,seed_5,heterogeneous,core+papers-nuclear,papers-cyber,forget,False,3.070730209350586,0.9011090704456177,accumulation/grmoe/200M/seed_5/acc_mode_heterogeneous_factor_1.0/stats.jsonl
grmoe,200M,seed_5,heterogeneous,core+papers-nuclear,papers-nuclear,retain,False,3.093174934387207,1.0927258892163327,accumulation/grmoe/200M/seed_5/acc_mode_heterogeneous_factor_1.0/stats.jsonl
grmoe,200M,seed_5,uniform,code-lisp+core,code-lisp,retain,False,1.1574461460113525,0.4463291237626019,accumulation/grmoe/200M/seed_5/acc_mode_uniform_factor_1.0/stats.jsonl
grmoe,200M,seed_5,uniform,code-lisp+core,core,core,False,2.221665859222412,0.9345704930445987,accumulation/grmoe/200M/seed_5/acc_mode_uniform_factor_1.0/stats.jsonl
grmoe,200M,seed_5,uniform,code-lisp+core,papers-biology,forget,False,2.85357666015625,0.8080490794855941,accumulation/grmoe/200M/seed_5/acc_mode_uniform_factor_1.0/stats.jsonl
grmoe,200M,seed_5,uniform,code-lisp+core,papers-cyber,forget,False,3.087315559387207,0.8549987183393409,accumulation/grmoe/200M/seed_5/acc_mode_uniform_factor_1.0/stats.jsonl
grmoe,200M,seed_5,uniform,code-lisp+core,papers-nuclear,forget,False,3.205556869506836,0.7555958544721867,accumulation/grmoe/200M/seed_5/acc_mode_uniform_factor_1.0/stats.jsonl
grmoe,200M,seed_5,uniform,core,code-lisp,forget,False,1.1933062076568604,0.3839054023224583,accumulation/grmoe/200M/seed_5/acc_mode_uniform_factor_1.0/stats.jsonl
grmoe,200M,seed_5,uniform,core,core,core,False,2.2201714515686035,0.9397984655446509,accumulation/grmoe/200M/seed_5/acc_mode_uniform_factor_1.0/stats.jsonl
grmoe,200M,seed_5,uniform,core,papers-biology,forget,False,2.8517215251922607,0.8124583106451297,accumulation/grmoe/200M/seed_5/acc_mode_uniform_factor_1.0/stats.jsonl
grmoe,200M,seed_5,uniform,core,papers-cyber,forget,False,3.085489273071289,0.8599449577675266,accumulation/grmoe/200M/seed_5/acc_mode_uniform_factor_1.0/stats.jsonl
grmoe,200M,seed_5,uniform,core,papers-nuclear,forget,False,3.203444480895996,0.7607508250239609,accumulation/grmoe/200M/seed_5/acc_mode_uniform_factor_1.0/stats.jsonl
grmoe,200M,seed_5,uniform,core+papers-biology,code-lisp,forget,False,1.1947450637817383,0.3816326847624109,accumulation/grmoe/200M/seed_5/acc_mode_uniform_factor_1.0/stats.jsonl
grmoe,200M,seed_5,uniform,core+papers-biology,core,core,False,2.2211830615997314,0.9362558801034322,accumulation/grmoe/200M/seed_5/acc_mode_uniform_factor_1.0/stats.jsonl
grmoe,200M,seed_5,uniform,core+papers-biology,papers-biology,retain,False,2.8360886573791504,0.8507155990957881,accumulation/grmoe/200M/seed_5/acc_mode_uniform_factor_1.0/stats.jsonl
grmoe,200M,seed_5,uniform,core+papers-biology,papers-cyber,forget,False,3.087214469909668,0.8552716740822446,accumulation/grmoe/200M/seed_5/acc_mode_uniform_factor_1.0/stats.jsonl
grmoe,200M,seed_5,uniform,core+papers-biology,papers-nuclear,forget,False,3.2035892009735107,0.7603964133230804,accumulation/grmoe/200M/seed_5/acc_mode_uniform_factor_1.0/stats.jsonl
grmoe,200M,seed_5,uniform,core+papers-cyber,code-lisp,forget,False,1.194932222366333,0.38133828135541753,accumulation/grmoe/200M/seed_5/acc_mode_uniform_factor_1.0/stats.jsonl
grmoe,200M,seed_5,uniform,core+papers-cyber,core,core,False,2.2204055786132812,0.9389772207540427,accumulation/grmoe/200M/seed_5/acc_mode_uniform_factor_1.0/stats.jsonl
grmoe,200M,seed_5,uniform,core+papers-cyber,papers-biology,forget,False,2.8527896404266357,0.8099163271398372,accumulation/grmoe/200M/seed_5/acc_mode_uniform_factor_1.0/stats.jsonl
grmoe,200M,seed_5,uniform,core+papers-cyber,papers-cyber,retain,False,3.0749850273132324,0.8890210984598056,accumulation/grmoe/200M/seed_5/acc_mode_uniform_factor_1.0/stats.jsonl
grmoe,200M,seed_5,uniform,core+papers-cyber,papers-nuclear,forget,False,3.2035939693450928,0.760384738958606,accumulation/grmoe/200M/seed_5/acc_mode_uniform_factor_1.0/stats.jsonl
grmoe,200M,seed_5,uniform,core+papers-nuclear,code-lisp,forget,False,1.1936935186386108,0.38329199686287174,accumulation/grmoe/200M/seed_5/acc_mode_uniform_factor_1.0/stats.jsonl
grmoe,200M,seed_5,uniform,core+papers-nuclear,core,core,False,2.2215042114257812,0.9351344025029681,accumulation/grmoe/200M/seed_5/acc_mode_uniform_factor_1.0/stats.jsonl
grmoe,200M,seed_5,uniform,core+papers-nuclear,papers-biology,forget,False,2.850412368774414,0.8155862747794118,accumulation/grmoe/200M/seed_5/acc_mode_uniform_factor_1.0/stats.jsonl
grmoe,200M,seed_5,uniform,core+papers-nuclear,papers-cyber,forget,False,3.0853657722473145,0.860280592316439,accumulation/grmoe/200M/seed_5/acc_mode_uniform_factor_1.0/stats.jsonl
grmoe,200M,seed_5,uniform,core+papers-nuclear,papers-nuclear,retain,False,3.184748649597168,0.8081168721597973,accumulation/grmoe/200M/seed_5/acc_mode_uniform_factor_1.0/stats.jsonl
lora,200M,seed_5,heterogeneous,code-lisp+core,code-lisp,retain,False,1.063369631767273,0.6801741362192101,accumulation/lora/200M/seed_5/acc_mode_heterogeneous_factor_1.0/stats.jsonl
lora,200M,seed_5,heterogeneous,code-lisp+core,core,core,False,2.2296833992004395,0.9070788320179547,accumulation/lora/200M/seed_5/acc_mode_heterogeneous_factor_1.0/stats.jsonl
lora,200M,seed_5,heterogeneous,code-lisp+core,papers-biology,forget,False,2.8914570808410645,0.7236866208358922,accumulation/lora/200M/seed_5/acc_mode_heterogeneous_factor_1.0/stats.jsonl
lora,200M,seed_5,heterogeneous,code-lisp+core,papers-cyber,forget,False,3.1135318279266357,0.787383243896389,accumulation/lora/200M/seed_5/acc_mode_heterogeneous_factor_1.0/stats.jsonl
lora,200M,seed_5,heterogeneous,code-lisp+core,papers-nuclear,forget,False,3.233112335205078,0.691789183408724,accumulation/lora/200M/seed_5/acc_mode_heterogeneous_factor_1.0/stats.jsonl
lora,200M,seed_5,heterogeneous,core,code-lisp,forget,False,1.4121328592300415,0.16965273549783846,accumulation/lora/200M/seed_5/acc_mode_heterogeneous_factor_1.0/stats.jsonl
lora,200M,seed_5,heterogeneous,core,core,core,False,2.212230682373047,0.9681399897933288,accumulation/lora/200M/seed_5/acc_mode_heterogeneous_factor_1.0/stats.jsonl
lora,200M,seed_5,heterogeneous,core,papers-biology,forget,False,2.8776984214782715,0.7531169347154045,accumulation/lora/200M/seed_5/acc_mode_heterogeneous_factor_1.0/stats.jsonl
lora,200M,seed_5,heterogeneous,core,papers-cyber,forget,False,3.097590446472168,0.8277552187259557,accumulation/lora/200M/seed_5/acc_mode_heterogeneous_factor_1.0/stats.jsonl
lora,200M,seed_5,heterogeneous,core,papers-nuclear,forget,False,3.2170939445495605,0.7281173187031036,accumulation/lora/200M/seed_5/acc_mode_heterogeneous_factor_1.0/stats.jsonl
lora,200M,seed_5,heterogeneous,core+papers-biology,code-lisp,forget,False,1.4161067008972168,0.16740433609505143,accumulation/lora/200M/seed_5/acc_mode_heterogeneous_factor_1.0/stats.jsonl
lora,200M,seed_5,heterogeneous,core+papers-biology,core,core,False,2.2187983989715576,0.9446311184550961,accumulation/lora/200M/seed_5/acc_mode_heterogeneous_factor_1.0/stats.jsonl
lora,200M,seed_5,heterogeneous,core+papers-biology,papers-biology,retain,False,2.795217275619507,0.96074510708766,accumulation/lora/200M/seed_5/acc_mode_heterogeneous_factor_1.0/stats.jsonl
lora,200M,seed_5,heterogeneous,core+papers-biology,papers-cyber,forget,False,3.104736328125,0.8093792436585081,accumulation/lora/200M/seed_5/acc_mode_heterogeneous_factor_1.0/stats.jsonl
lora,200M,seed_5,heterogeneous,core+papers-biology,papers-nuclear,forget,False,3.2147841453552246,0.7335285490220413,accumulation/lora/200M/seed_5/acc_mode_heterogeneous_factor_1.0/stats.jsonl
lora,200M,seed_5,heterogeneous,core+papers-cyber,code-lisp,forget,False,1.413214921951294,0.1690366999411573,accumulation/lora/200M/seed_5/acc_mode_heterogeneous_factor_1.0/stats.jsonl
lora,200M,seed_5,heterogeneous,core+papers-cyber,core,core,False,2.2129909992218018,0.9653848303261608,accumulation/lora/200M/seed_5/acc_mode_heterogeneous_factor_1.0/stats.jsonl
lora,200M,seed_5,heterogeneous,core+papers-cyber,papers-biology,forget,False,2.879018783569336,0.750234535222818,accumulation/lora/200M/seed_5/acc_mode_heterogeneous_factor_1.0/stats.jsonl
lora,200M,seed_5,heterogeneous,core+papers-cyber,papers-cyber,retain,False,3.0424609184265137,0.9862290663644613,accumulation/lora/200M/seed_5/acc_mode_heterogeneous_factor_1.0/stats.jsonl
lora,200M,seed_5,heterogeneous,core+papers-cyber,papers-nuclear,forget,False,3.2171483039855957,0.7279905048663858,accumulation/lora/200M/seed_5/acc_mode_heterogeneous_factor_1.0/stats.jsonl
lora,200M,seed_5,heterogeneous,core+papers-nuclear,code-lisp,forget,False,1.4146037101745605,0.16825022331091938,accumulation/lora/200M/seed_5/acc_mode_heterogeneous_factor_1.0/stats.jsonl
lora,200M,seed_5,heterogeneous,core+papers-nuclear,core,core,False,2.2207603454589844,0.9377343581088468,accumulation/lora/200M/seed_5/acc_mode_heterogeneous_factor_1.0/stats.jsonl
lora,200M,seed_5,heterogeneous,core+papers-nuclear,papers-biology,forget,False,2.8786702156066895,0.750994255191815,accumulation/lora/200M/seed_5/acc_mode_heterogeneous_factor_1.0/stats.jsonl
lora,200M,seed_5,heterogeneous,core+papers-nuclear,papers-cyber,forget,False,3.1055073738098145,0.8074238213182925,accumulation/lora/200M/seed_5/acc_mode_heterogeneous_factor_1.0/stats.jsonl
lora,200M,seed_5,heterogeneous,core+papers-nuclear,papers-nuclear,retain,False,3.1251797676086426,0.9822639993467847,accumulation/lora/200M/seed_5/acc_mode_heterogeneous_factor_1.0/stats.jsonl
lora,200M,seed_5,uniform,code-lisp+core,code-lisp,retain,False,1.1283892393112183,0.5062491758521627,accumulation/lora/200M/seed_5/acc_mode_uniform_factor_1.0/stats.jsonl
lora,200M,seed_5,uniform,code-lisp+core,core,core,False,2.2241358757019043,0.9260015724884851,accumulation/lora/200M/seed_5/acc_mode_uniform_factor_1.0/stats.jsonl
lora,200M,seed_5,uniform,code-lisp+core,papers-biology,forget,False,2.8879716396331787,0.7310168248224078,accumulation/lora/200M/seed_5/acc_mode_uniform_factor_1.0/stats.jsonl
lora,200M,seed_5,uniform,code-lisp+core,papers-cyber,forget,False,3.1092898845672607,0.7979071767412933,accumulation/lora/200M/seed_5/acc_mode_uniform_factor_1.0/stats.jsonl
lora,200M,seed_5,uniform,code-lisp+core,papers-nuclear,forget,False,3.2300078868865967,0.6986692784131919,accumulation/lora/200M/seed_5/acc_mode_uniform_factor_1.0/stats.jsonl
lora,200M,seed_5,uniform,core,code-lisp,forget,False,1.4078675508499146,0.17210915912032626,accumulation/lora/200M/seed_5/acc_mode_uniform_factor_1.0/stats.jsonl
lora,200M,seed_5,uniform,core,core,core,False,2.2125492095947266,0.9669846604771415,accumulation/lora/200M/seed_5/acc_mode_uniform_factor_1.0/stats.jsonl
lora,200M,seed_5,uniform,core,papers-biology,forget,False,2.8780887126922607,0.7522636095779094,accumulation/lora/200M/seed_5/acc_mode_uniform_factor_1.0/stats.jsonl
lora,200M,seed_5,uniform,core,papers-cyber,forget,False,3.098790168762207,0.8246378286805601,accumulation/lora/200M/seed_5/acc_mode_uniform_factor_1.0/stats.jsonl
lora,200M,seed_5,uniform,core,papers-nuclear,forget,False,3.2183644771575928,0.7251597324070976,accumulation/lora/200M/seed_5/acc_mode_uniform_factor_1.0/stats.jsonl
lora,200M,seed_5,uniform,core+papers-biology,code-lisp,forget,False,1.40948486328125,0.17117242441203928,accumulation/lora/200M/seed_5/acc_mode_uniform_factor_1.0/stats.jsonl
lora,200M,seed_5,uniform,core+papers-biology,core,core,False,2.217007875442505,0.9509754708654428,accumulation/lora/200M/seed_5/acc_mode_uniform_factor_1.0/stats.jsonl
lora,200M,seed_5,uniform,core+papers-biology,papers-biology,retain,False,2.8117966651916504,0.9142791603706043,accumulation/lora/200M/seed_5/acc_mode_uniform_factor_1.0/stats.jsonl
lora,200M,seed_5,uniform,core+papers-biology,papers-cyber,forget,False,3.1038272380828857,0.811691546642961,accumulation/lora/200M/seed_5/acc_mode_uniform_factor_1.0/stats.jsonl
lora,200M,seed_5,uniform,core+papers-biology,papers-nuclear,forget,False,3.2143845558166504,0.7344692059267565,accumulation/lora/200M/seed_5/acc_mode_uniform_factor_1.0/stats.jsonl
lora,200M,seed_5,uniform,core+papers-cyber,code-lisp,forget,False,1.407476544380188,0.1723366086510032,accumulation/lora/200M/seed_5/acc_mode_uniform_factor_1.0/stats.jsonl
lora,200M,seed_5,uniform,core+papers-cyber,core,core,False,2.2128853797912598,0.965767031707223,accumulation/lora/200M/seed_5/acc_mode_uniform_factor_1.0/stats.jsonl
lora,200M,seed_5,uniform,core+papers-cyber,papers-biology,forget,False,2.8773741722106934,0.7538267015702724,accumulation/lora/200M/seed_5/acc_mode_uniform_factor_1.0/stats.jsonl
lora,200M,seed_5,uniform,core+papers-cyber,papers-cyber,retain,False,3.0532546043395996,0.9527147573463172,accumulation/lora/200M/seed_5/acc_mode_uniform_factor_1.0/stats.jsonl
lora,200M,seed_5,uniform,core+papers-cyber,papers-nuclear,forget,False,3.2173380851745605,0.7275479612730587,accumulation/lora/200M/seed_5/acc_mode_uniform_factor_1.0/stats.jsonl
lora,200M,seed_5,uniform,core+papers-nuclear,code-lisp,forget,False,1.4090651273727417,0.1714149054641602,accumulation/lora/200M/seed_5/acc_mode_uniform_factor_1.0/stats.jsonl
lora,200M,seed_5,uniform,core+papers-nuclear,core,core,False,2.219466209411621,0.9422771573255277,accumulation/lora/200M/seed_5/acc_mode_uniform_factor_1.0/stats.jsonl
lora,200M,seed_5,uniform,core+papers-nuclear,papers-biology,forget,False,2.8783297538757324,0.7517371493199209,accumulation/lora/200M/seed_5/acc_mode_uniform_factor_1.0/stats.jsonl
lora,200M,seed_5,uniform,core+papers-nuclear,papers-cyber,forget,False,3.1048665046691895,0.8090487369804287,accumulation/lora/200M/seed_5/acc_mode_uniform_factor_1.0/stats.jsonl
lora,200M,seed_5,uniform,core+papers-nuclear,papers-nuclear,retain,False,3.1420836448669434,0.9289552008365154,accumulation/lora/200M/seed_5/acc_mode_uniform_factor_1.0/stats.jsonl
