method,model_size,num_params,seed,retained,data_label,label_class,loss,compute_ratio,source
grmoe,800M,806509504,seed_1,code-lisp+core,code-lisp,retain,0.8212448954582214,0.9101495240533699,arbsub/800M/seed_1/grmoe/stats.jsonl
grmoe,800M,806509504,seed_1,code-lisp+core,core,core,1.8774337768554688,0.9809873234725233,arbsub/800M/seed_1/grmoe/stats.jsonl
grmoe,800M,806509504,seed_1,code-lisp+core,papers-biology,forget,2.4550225734710693,0.6889237480953015,arbsub/800M/seed_1/grmoe/stats.jsonl
grmoe,800M,806509504,seed_1,code-lisp+core,papers-cyber,forget,2.703125,0.7696617093927351,arbsub/800M/seed_1/grmoe/stats.jsonl
grmoe,800M,806509504,seed_1,code-lisp+core,papers-nuclear,forget,2.832998514175415,0.6200431732270028,arbsub/800M/seed_1/grmoe/stats.jsonl
grmoe,800M,806509504,seed_1,code-lisp+core+papers-biology+papers-cyber,code-lisp,retain,0.8228585124015808,0.9027583943931748,arbsub/800M/seed_1/grmoe/stats.jsonl
grmoe,800M,806509504,seed_1,code-lisp+core+papers-biology+papers-cyber,core,core,1.8809810876846313,0.9620717499986116,arbsub/800M/seed_1/grmoe/stats.jsonl
grmoe,800M,806509504,seed_1,code-lisp+core+papers-biology+papers-cyber,papers-biology,retain,2.370628833770752,0.9621065168997718,arbsub/800M/seed_1/grmoe/stats.jsonl
grmoe,800M,806509504,seed_1,code-lisp+core+papers-biology+papers-cyber,papers-cyber,retain,2.643061876296997,0.9879889605748677,arbsub/800M/seed_1/grmoe/stats.jsonl
grmoe,800M,806509504,seed_1,code-lisp+core+papers-biology+papers-cyber,papers-nuclear,forget,2.8245534896850586,0.6415496833086282,arbsub/800M/seed_1/grmoe/stats.jsonl
grmoe,800M,806509504,seed_1,code-lisp+core+papers-biology+papers-cyber+papers-nuclear,code-lisp,retain,0.825564980506897,0.8905292768496075,arbsub/800M/seed_1/grmoe/stats.jsonl
grmoe,800M,806509504,seed_1,code-lisp+core+papers-biology+papers-cyber+papers-nuclear,core,core,1.8898104429244995,0.9167195567209999,arbsub/800M/seed_1/grmoe/stats.jsonl
grmoe,800M,806509504,seed_1,code-lisp+core+papers-biology+papers-cyber+papers-nuclear,papers-biology,retain,2.3780694007873535,0.9336964788162138,arbsub/800M/seed_1/grmoe/stats.jsonl
grmoe,800M,806509504,seed_1,code-lisp+core+papers-biology+papers-cyber+papers-nuclear,papers-cyber,retain,2.651339292526245,0.9542070959262948,arbsub/800M/seed_1/grmoe/stats.jsonl
grmoe,800M,806509504,seed_1,code-lisp+core+papers-biology+papers-cyber+papers-nuclear,papers-nuclear,retain,2.7225818634033203,0.9776451075602597,arbsub/800M/seed_1/grmoe/stats.jsonl
grmoe,800M,806509504,seed_1,code-lisp+core+papers-biology+papers-nuclear,code-lisp,retain,0.823309600353241,0.9007056390822422,arbsub/800M/seed_1/grmoe/stats.jsonl
grmoe,800M,806509504,seed_1,code-lisp+core+papers-biology+papers-nuclear,core,core,1.8857320547103882,0.9373672504425513,arbsub/800M/seed_1/grmoe/stats.jsonl
grmoe,800M,806509504,seed_1,code-lisp+core+papers-biology+papers-nuclear,papers-biology,retain,2.374218463897705,0.9482818081724974,arbsub/800M/seed_1/grmoe/stats.jsonl
grmoe,800M,806509504,seed_1,code-lisp+core+papers-biology+papers-nuclear,papers-cyber,forget,2.704613208770752,0.7649753495386277,arbsub/800M/seed_1/grmoe/stats.jsonl
grmoe,800M,806509504,seed_1,code-lisp+core+papers-biology+papers-nuclear,papers-nuclear,retain,2.7171130180358887,1.0004870085099087,arbsub/800M/seed_1/grmoe/stats.jsonl
grmoe,800M,806509504,seed_1,code-lisp+core+papers-cyber+papers-nuclear,code-lisp,retain,0.823858380317688,0.8982161859633202,arbsub/800M/seed_1/grmoe/stats.jsonl
grmoe,800M,806509504,seed_1,code-lisp+core+papers-cyber+papers-nuclear,core,core,1.8842355012893677,0.9450725634409552,arbsub/800M/seed_1/grmoe/stats.jsonl
grmoe,800M,806509504,seed_1,code-lisp+core+papers-cyber+papers-nuclear,papers-biology,forget,2.4515066146850586,0.698396097512418,arbsub/800M/seed_1/grmoe/stats.jsonl
grmoe,800M,806509504,seed_1,code-lisp+core+papers-cyber+papers-nuclear,papers-cyber,retain,2.645703077316284,0.9770688686197789,arbsub/800M/seed_1/grmoe/stats.jsonl
grmoe,800M,806509504,seed_1,code-lisp+core+papers-cyber+papers-nuclear,papers-nuclear,retain,2.717968702316284,0.996874735304038,arbsub/800M/seed_1/grmoe/stats.jsonl
grmoe,800M,806509504,seed_1,core,code-lisp,forget,1.456659197807312,0.09050461346207249,arbsub/800M/seed_1/grmoe/stats.jsonl
grmoe,800M,806509504,seed_1,core,core,core,1.8749332427978516,0.9945683320058963,arbsub/800M/seed_1/grmoe/stats.jsonl
grmoe,800M,806509504,seed_1,core,papers-biology,forget,2.4536828994750977,0.6925159045796924,arbsub/800M/seed_1/grmoe/stats.jsonl
grmoe,800M,806509504,seed_1,core,papers-cyber,forget,2.700892925262451,0.7767499712098312,arbsub/800M/seed_1/grmoe/stats.jsonl
grmoe,800M,806509504,seed_1,core,papers-nuclear,forget,2.8309526443481445,0.6251792917799357,arbsub/800M/seed_1/grmoe/stats.jsonl
grmoe,800M,806509504,seed_1,core+papers-biology,code-lisp,forget,1.45010244846344,0.09205911645091906,arbsub/800M/seed_1/grmoe/stats.jsonl
grmoe,800M,806509504,seed_1,core+papers-biology,core,core,1.8765950202941895,0.9855198065990204,arbsub/800M/seed_1/grmoe/stats.jsonl
grmoe,800M,806509504,seed_1,core+papers-biology,papers-biology,retain,2.3666481971740723,0.9777004413125726,arbsub/800M/seed_1/grmoe/stats.jsonl
grmoe,800M,806509504,seed_1,core+papers-biology,papers-cyber,forget,2.7020275592803955,0.7731378283153534,arbsub/800M/seed_1/grmoe/stats.jsonl
grmoe,800M,806509504,seed_1,core+papers-biology,papers-nuclear,forget,2.8256139755249023,0.6388043572784247,arbsub/800M/seed_1/grmoe/stats.jsonl
grmoe,800M,806509504,seed_1,core+papers-biology+papers-cyber+papers-nuclear,code-lisp,forget,1.448846697807312,0.09236102033446174,arbsub/800M/seed_1/grmoe/stats.jsonl
grmoe,800M,806509504,seed_1,core+papers-biology+papers-cyber+papers-nuclear,core,core,1.8861148357391357,0.9354076103512152,arbsub/800M/seed_1/grmoe/stats.jsonl
grmoe,800M,806509504,seed_1,core+papers-biology+papers-cyber+papers-nuclear,papers-biology,retain,2.375725507736206,0.942543873169259,arbsub/800M/seed_1/grmoe/stats.jsonl
grmoe,800M,806509504,seed_1,core+papers-biology+papers-cyber+papers-nuclear,papers-cyber,retain,2.6481027603149414,0.9672623652259695,arbsub/800M/seed_1/grmoe/stats.jsonl
grmoe,800M,806509504,seed_1,core+papers-biology+papers-cyber+papers-nuclear,papers-nuclear,retain,2.719326972961426,0.9911701351250892,arbsub/800M/seed_1/grmoe/stats.jsonl
grmoe,800M,806509504,seed_1,core+papers-cyber,code-lisp,forget,1.451776385307312,0.09165878000554811,arbsub/800M/seed_1/grmoe/stats.jsonl
grmoe,800M,806509504,seed_1,core+papers-cyber,core,core,1.8759548664093018,0.9889946704369675,arbsub/800M/seed_1/grmoe/stats.jsonl
grmoe,800M,806509504,seed_1,core+papers-cyber,papers-biology,forget,2.4541852474212646,0.6911664747987287,arbsub/800M/seed_1/grmoe/stats.jsonl
grmoe,800M,806509504,seed_1,core+papers-cyber,papers-cyber,retain,2.637183904647827,1.0127764866038644,arbsub/800M/seed_1/grmoe/stats.jsonl
grmoe,800M,806509504,seed_1,core+papers-cyber,papers-nuclear,forget,2.824907064437866,0.6406329255475735,arbsub/800M/seed_1/grmoe/stats.jsonl
grmoe,800M,806509504,seed_1,core+papers-nuclear,code-lisp,forget,1.4543806314468384,0.09104070027703172,arbsub/800M/seed_1/grmoe/stats.jsonl
grmoe,800M,806509504,seed_1,core+papers-nuclear,core,core,1.8795734643936157,0.969528980312143,arbsub/800M/seed_1/grmoe/stats.jsonl
grmoe,800M,806509504,seed_1,core+papers-nuclear,papers-biology,forget,2.4495720863342285,0.7036700193816738,arbsub/800M/seed_1/grmoe/stats.jsonl
grmoe,800M,806509504,seed_1,core+papers-nuclear,papers-cyber,forget,2.6969120502471924,0.7895711723180577,arbsub/800M/seed_1/grmoe/stats.jsonl
grmoe,800M,806509504,seed_1,core+papers-nuclear,papers-nuclear,retain,2.7112350463867188,1.0256923485044607,arbsub/800M/seed_1/grmoe/stats.jsonl
lora,800M,806509504,seed_1,code-lisp+core,code-lisp,retain,0.7991699576377869,1.0192917762219453,arbsub/800M/seed_1/lora/stats.jsonl
lora,800M,806509504,seed_1,code-lisp+core,core,core,1.8834705352783203,0.9490382073362805,arbsub/800M/seed_1/lora/stats.jsonl
lora,800M,806509504,seed_1,code-lisp+core,papers-biology,forget,2.4803757667541504,0.624727709767176,arbsub/800M/seed_1/lora/stats.jsonl
lora,800M,806509504,seed_1,code-lisp+core,papers-cyber,forget,2.7199032306671143,0.7186087273242611,arbsub/800M/seed_1/lora/stats.jsonl
lora,800M,806509504,seed_1,code-lisp+core,papers-nuclear,forget,2.855208396911621,0.5671857009584168,arbsub/800M/seed_1/lora/stats.jsonl
lora,800M,806509504,seed_1,code-lisp+core+papers-biology+papers-cyber,code-lisp,retain,0.8106259703636169,0.960725143449892,arbsub/800M/seed_1/lora/stats.jsonl
lora,800M,806509504,seed_1,code-lisp+core+papers-biology+papers-cyber,core,core,1.8961758613586426,0.8854923627683878,arbsub/800M/seed_1/lora/stats.jsonl
lora,800M,806509504,seed_1,code-lisp+core+papers-biology+papers-cyber,papers-biology,retain,2.3931548595428467,0.8789225555055541,arbsub/800M/seed_1/lora/stats.jsonl
lora,800M,806509504,seed_1,code-lisp+core+papers-biology+papers-cyber,papers-cyber,retain,2.665532112121582,0.8992023591545404,arbsub/800M/seed_1/lora/stats.jsonl
lora,800M,806509504,seed_1,code-lisp+core+papers-biology+papers-cyber,papers-nuclear,forget,2.8573660850524902,0.5623219707460075,arbsub/800M/seed_1/lora/stats.jsonl
lora,800M,806509504,seed_1,code-lisp+core+papers-biology+papers-cyber+papers-nuclear,code-lisp,retain,0.8238607048988342,0.8982056591913647,arbsub/800M/seed_1/lora/stats.jsonl
lora,800M,806509504,seed_1,code-lisp+core+papers-biology+papers-cyber+papers-nuclear,core,core,1.9148344993591309,0.8005461265313182,arbsub/800M/seed_1/lora/stats.jsonl
lora,800M,806509504,seed_1,code-lisp+core+papers-biology+papers-cyber+papers-nuclear,papers-biology,retain,2.416220188140869,0.8019731254141973,arbsub/800M/seed_1/lora/stats.jsonl
lora,800M,806509504,seed_1,code-lisp+core+papers-biology+papers-cyber+papers-nuclear,papers-cyber,retain,2.6895833015441895,0.8137895100550833,arbsub/800M/seed_1/lora/stats.jsonl
lora,800M,806509504,seed_1,code-lisp+core+papers-biology+papers-cyber+papers-nuclear,papers-nuclear,retain,2.761532783508301,0.8305954695626796,arbsub/800M/seed_1/lora/stats.jsonl
lora,800M,806509504,seed_1,code-lisp+core+papers-biology+papers-nuclear,code-lisp,retain,0.8141322135925293,0.9436457361109593,arbsub/800M/seed_1/lora/stats.jsonl
lora,800M,806509504,seed_1,code-lisp+core+papers-biology+papers-nuclear,core,core,1.906172513961792,0.8388023294250346,arbsub/800M/seed_1/lora/stats.jsonl
lora,800M,806509504,seed_1,code-lisp+core+papers-biology+papers-nuclear,papers-biology,retain,2.4005208015441895,0.8534875491425474,arbsub/800M/seed_1/lora/stats.jsonl
lora,800M,806509504,seed_1,code-lisp+core+papers-biology+papers-nuclear,papers-cyber,forget,2.7489209175109863,0.6389092050379629,arbsub/800M/seed_1/lora/stats.jsonl
lora,800M,806509504,seed_1,code-lisp+core+papers-biology+papers-nuclear,papers-nuclear,retain,2.746372699737549,0.8847242869426,arbsub/800M/seed_1/lora/stats.jsonl
lora,800M,806509504,seed_1,code-lisp+core+papers-cyber+papers-nuclear,code-lisp,retain,0.8123674392700195,0.9521943208450522,arbsub/800M/seed_1/lora/stats.jsonl
lora,800M,806509504,seed_1,code-lisp+core+papers-cyber+papers-nuclear,core,core,1.9006595611572266,0.8642039968626745,arbsub/800M/seed_1/lora/stats.jsonl
lora,800M,806509504,seed_1,code-lisp+core+papers-cyber+papers-nuclear,papers-biology,forget,2.4935455322265625,0.5940468010021852,arbsub/800M/seed_1/lora/stats.jsonl
lora,800M,806509504,seed_1,code-lisp+core+papers-cyber+papers-nuclear,papers-cyber,retain,2.6700334548950195,0.8824937049102549,arbsub/800M/seed_1/lora/stats.jsonl
lora,800M,806509504,seed_1,code-lisp+core+papers-cyber+papers-nuclear,papers-nuclear,retain,2.7436013221740723,0.8950323244999158,arbsub/800M/seed_1/lora/stats.jsonl
lora,800M,806509504,seed_1,core,code-lisp,forget,1.3791992664337158,0.11146689772584409,arbsub/800M/seed_1/lora/stats.jsonl
lora,800M,806509504,seed_1,core,core,core,1.871084451675415,1.0158803835307428,arbsub/800M/seed_1/lora/stats.jsonl
lora,800M,806509504,seed_1,core,papers-biology,forget,2.470256805419922,0.6495097586339889,arbsub/800M/seed_1/lora/stats.jsonl
lora,800M,806509504,seed_1,core,papers-cyber,forget,2.7066593170166016,0.7585834752191937,arbsub/800M/seed_1/lora/stats.jsonl
lora,800M,806509504,seed_1,core,papers-nuclear,forget,2.8424105644226074,0.5970067518811186,arbsub/800M/seed_1/lora/stats.jsonl
lora,800M,806509504,seed_1,core+papers-biology,code-lisp,forget,1.3827613592147827,0.11036556296419725,arbsub/800M/seed_1/lora/stats.jsonl
lora,800M,806509504,seed_1,core+papers-biology,core,core,1.8776522874832153,0.9798103236986833,arbsub/800M/seed_1/lora/stats.jsonl
lora,800M,806509504,seed_1,core+papers-biology,papers-biology,retain,2.371837615966797,0.9574262097537716,arbsub/800M/seed_1/lora/stats.jsonl
lora,800M,806509504,seed_1,core+papers-biology,papers-cyber,forget,2.7157366275787354,0.7309285467264363,arbsub/800M/seed_1/lora/stats.jsonl
lora,800M,806509504,seed_1,core+papers-biology,papers-nuclear,forget,2.838634729385376,0.6061328152011727,arbsub/800M/seed_1/lora/stats.jsonl
lora,800M,806509504,seed_1,core+papers-biology+papers-cyber+papers-nuclear,code-lisp,forget,1.4043619632720947,0.10399248995477375,arbsub/800M/seed_1/lora/stats.jsonl
lora,800M,806509504,seed_1,core+papers-biology+papers-cyber+papers-nuclear,core,core,1.9000349044799805,0.8671355456593705,arbsub/800M/seed_1/lora/stats.jsonl
lora,800M,806509504,seed_1,core+papers-biology+papers-cyber+papers-nuclear,papers-biology,retain,2.403348207473755,0.8439434390478758,arbsub/800M/seed_1/lora/stats.jsonl
lora,800M,806509504,seed_1,core+papers-biology+papers-cyber+papers-nuclear,papers-cyber,retain,2.6743674278259277,0.8667288481606872,arbsub/800M/seed_1/lora/stats.jsonl
lora,800M,806509504,seed_1,core+papers-biology+papers-cyber+papers-nuclear,papers-nuclear,retain,2.746837854385376,0.8830069737486079,arbsub/800M/seed_1/lora/stats.jsonl
lora,800M,806509504,seed_1,core+papers-cyber,code-lisp,forget,1.3828264474868774,0.11034557580013424,arbsub/800M/seed_1/lora/stats.jsonl
lora,800M,806509504,seed_1,core+papers-cyber,core,core,1.8737421035766602,1.0011107432252007,arbsub/800M/seed_1/lora/stats.jsonl
lora,800M,806509504,seed_1,core+papers-cyber,papers-biology,forget,2.471186876296997,0.6471865691003121,arbsub/800M/seed_1/lora/stats.jsonl
lora,800M,806509504,seed_1,core+papers-cyber,papers-cyber,retain,2.6390624046325684,1.0047812449652953,arbsub/800M/seed_1/lora/stats.jsonl
lora,800M,806509504,seed_1,core+papers-cyber,papers-nuclear,forget,2.8391928672790527,0.6047741674265996,arbsub/800M/seed_1/lora/stats.jsonl
lora,800M,806509504,seed_1,core+papers-nuclear,code-lisp,forget,1.3839424848556519,0.11000362476069454,arbsub/800M/seed_1/lora/stats.jsonl
lora,800M,806509504,seed_1,core+papers-nuclear,core,core,1.881149172782898,0.961185528751119,arbsub/800M/seed_1/lora/stats.jsonl
lora,800M,806509504,seed_1,core+papers-nuclear,papers-biology,forget,2.469735622406006,0.6508156861454586,arbsub/800M/seed_1/lora/stats.jsonl
lora,800M,806509504,seed_1,core+papers-nuclear,papers-cyber,forget,2.717057466506958,0.7269980313352065,arbsub/800M/seed_1/lora/stats.jsonl
lora,800M,806509504,seed_1,core+papers-nuclear,papers-nuclear,retain,2.7184338569641113,0.9949170877996264,arbsub/800M/seed_1/lora/stats.jsonl
grmoe,800M,806509504,seed_2,code-lisp+core,code-lisp,retain,0.838516116142273,0.834797876065205,arbsub/800M/seed_2/grmoe/stats.jsonl
grmoe,800M,806509504,seed_2,code-lisp+core,core,core,1.8824676275253296,0.9542652915516148,arbsub/800M/seed_2/grmoe/stats.jsonl
grmoe,800M,806509504,seed_2,code-lisp+core,papers-biology,forget,2.457273244857788,0.6829357308509437,arbsub/800M/seed_2/grmoe/stats.jsonl
grmoe,800M,806509504,seed_2,code-lisp+core,papers-cyber,forget,2.7063241004943848,0.7596266162763493,arbsub/800M/seed_2/grmoe/stats.jsonl
grmoe,800M,806509504,seed_2,code-lisp+core,papers-nuclear,forget,2.8270647525787354,0.635069633346179,arbsub/800M/seed_2/grmoe/stats.jsonl
grmoe,800M,806509504,seed_2,code-lisp+core+papers-biology+papers-cyber,code-lisp,retain,0.839667022228241,0.8300593022309857,arbsub/800M/seed_2/grmoe/stats.jsonl
grmoe,800M,806509504,seed_2,code-lisp+core+papers-biology+papers-cyber,core,core,1.8849174976348877,0.9415525035234634,arbsub/800M/seed_2/grmoe/stats.jsonl
grmoe,800M,806509504,seed_2,code-lisp+core+papers-biology+papers-cyber,papers-biology,retain,2.370889186859131,0.9610962995678665,arbsub/800M/seed_2/grmoe/stats.jsonl
grmoe,800M,806509504,seed_2,code-lisp+core+papers-biology+papers-cyber,papers-cyber,retain,2.6427454948425293,0.989306023048427,arbsub/800M/seed_2/grmoe/stats.jsonl
grmoe,800M,806509504,seed_2,code-lisp+core+papers-biology+papers-cyber,papers-nuclear,forget,2.8155508041381836,0.6653864381241641,arbsub/800M/seed_2/grmoe/stats.jsonl
grmoe,800M,806509504,seed_2,code-lisp+core+papers-biology+papers-cyber+papers-nuclear,code-lisp,retain,0.8421316742897034,0.8200244635652483,arbsub/800M/seed_2/grmoe/stats.jsonl
grmoe,800M,806509504,seed_2,code-lisp+core+papers-biology+papers-cyber+papers-nuclear,core,core,1.891491413116455,0.9083562763131855,arbsub/800M/seed_2/grmoe/stats.jsonl
grmoe,800M,806509504,seed_2,code-lisp+core+papers-biology+papers-cyber+papers-nuclear,papers-biology,retain,2.37496280670166,0.9454429362641054,arbsub/800M/seed_2/grmoe/stats.jsonl
grmoe,800M,806509504,seed_2,code-lisp+core+papers-biology+papers-cyber+papers-nuclear,papers-cyber,retain,2.650390863418579,0.9580126001322247,arbsub/800M/seed_2/grmoe/stats.jsonl
grmoe,800M,806509504,seed_2,code-lisp+core+papers-biology+papers-cyber+papers-nuclear,papers-nuclear,retain,2.7261533737182617,0.9630369806421913,arbsub/800M/seed_2/grmoe/stats.jsonl
grmoe,800M,806509504,seed_2,code-lisp+core+papers-biology+papers-nuclear,code-lisp,retain,0.8398785591125488,0.8291920181646337,arbsub/800M/seed_2/grmoe/stats.jsonl
grmoe,800M,806509504,seed_2,code-lisp+core+papers-biology+papers-nuclear,core,core,1.8883882761001587,0.9238618316746157,arbsub/800M/seed_2/grmoe/stats.jsonl
grmoe,800M,806509504,seed_2,code-lisp+core+papers-biology+papers-nuclear,papers-biology,retain,2.3714845180511475,0.9587907467752371,arbsub/800M/seed_2/grmoe/stats.jsonl
grmoe,800M,806509504,seed_2,code-lisp+core+papers-biology+papers-nuclear,papers-cyber,forget,2.7047247886657715,0.7646252556328302,arbsub/800M/seed_2/grmoe/stats.jsonl
grmoe,800M,806509504,seed_2,code-lisp+core+papers-biology+papers-nuclear,papers-nuclear,retain,2.721168279647827,0.983493930822875,arbsub/800M/seed_2/grmoe/stats.jsonl
grmoe,800M,806509504,seed_2,code-lisp+core+papers-cyber+papers-nuclear,code-lisp,retain,0.840225100517273,0.8277736770279472,arbsub/800M/seed_2/grmoe/stats.jsonl
grmoe,800M,806509504,seed_2,code-lisp+core+papers-cyber+papers-nuclear,core,core,1.8873363733291626,0.9291842407296848,arbsub/800M/seed_2/grmoe/stats.jsonl
grmoe,800M,806509504,seed_2,code-lisp+core+papers-cyber+papers-nuclear,papers-biology,forget,2.4524741172790527,0.6957750912748404,arbsub/800M/seed_2/grmoe/stats.jsonl
grmoe,800M,806509504,seed_2,code-lisp+core+papers-cyber+papers-nuclear,papers-cyber,retain,2.6458518505096436,0.9764577250659909,arbsub/800M/seed_2/grmoe/stats.jsonl
grmoe,800M,806509504,seed_2,code-lisp+core+papers-cyber+papers-nuclear,papers-nuclear,retain,2.7222468852996826,0.9790276499459263,arbsub/800M/seed_2/grmoe/stats.jsonl
grmoe,800M,806509504,seed_2,core,code-lisp,forget,1.669293999671936,0.05508405294879556,arbsub/800M/seed_2/grmoe/stats.jsonl
grmoe,800M,806509504,seed_2,core,core,core,1.8800673484802246,0.9669052477080389,arbsub/800M/seed_2/grmoe/stats.jsonl
grmoe,800M,806509504,seed_2,core,papers-biology,forget,2.455561637878418,0.6874842075721732,arbsub/800M/seed_2/grmoe/stats.jsonl
grmoe,800M,806509504,seed_2,core,papers-cyber,forget,2.7042410373687744,0.766144356340353,arbsub/800M/seed_2/grmoe/stats.jsonl
grmoe,800M,806509504,seed_2,core,papers-nuclear,forget,2.825725555419922,0.6385162597402383,arbsub/800M/seed_2/grmoe/stats.jsonl
grmoe,800M,806509504,seed_2,core+papers-biology,code-lisp,forget,1.6558454036712646,0.056669426863565575,arbsub/800M/seed_2/grmoe/stats.jsonl
grmoe,800M,806509504,seed_2,core+papers-biology,core,core,1.8812941312789917,0.9604219670548011,arbsub/800M/seed_2/grmoe/stats.jsonl
grmoe,800M,806509504,seed_2,core+papers-biology,papers-biology,retain,2.367410659790039,0.974691853153964,arbsub/800M/seed_2/grmoe/stats.jsonl
grmoe,800M,806509504,seed_2,core+papers-biology,papers-cyber,forget,2.704594612121582,0.7650337157115001,arbsub/800M/seed_2/grmoe/stats.jsonl
grmoe,800M,806509504,seed_2,core+papers-biology,papers-nuclear,forget,2.81837797164917,0.6577972900165996,arbsub/800M/seed_2/grmoe/stats.jsonl
grmoe,800M,806509504,seed_2,core+papers-biology+papers-cyber+papers-nuclear,code-lisp,forget,1.621358871459961,0.06105569134708272,arbsub/800M/seed_2/grmoe/stats.jsonl
grmoe,800M,806509504,seed_2,core+papers-biology+papers-cyber+papers-nuclear,core,core,1.8878759145736694,0.9264500458373057,arbsub/800M/seed_2/grmoe/stats.jsonl
grmoe,800M,806509504,seed_2,core+papers-biology+papers-cyber+papers-nuclear,papers-biology,retain,2.372265577316284,0.9557752664853727,arbsub/800M/seed_2/grmoe/stats.jsonl
grmoe,800M,806509504,seed_2,core+papers-biology+papers-cyber+papers-nuclear,papers-cyber,retain,2.6475446224212646,0.9695335409863519,arbsub/800M/seed_2/grmoe/stats.jsonl
grmoe,800M,806509504,seed_2,core+papers-biology+papers-cyber+papers-nuclear,papers-nuclear,retain,2.7232885360717773,0.9747355047229094,arbsub/800M/seed_2/grmoe/stats.jsonl
grmoe,800M,806509504,seed_2,core+papers-cyber,code-lisp,forget,1.648428201675415,0.057572815889820335,arbsub/800M/seed_2/grmoe/stats.jsonl
grmoe,800M,806509504,seed_2,core+papers-cyber,core,core,1.8802757263183594,0.9658006095958287,arbsub/800M/seed_2/grmoe/stats.jsonl
grmoe,800M,806509504,seed_2,core+papers-cyber,papers-biology,forget,2.454073667526245,0.6914659513104051,arbsub/800M/seed_2/grmoe/stats.jsonl
grmoe,800M,806509504,seed_2,core+papers-cyber,papers-cyber,retain,2.637220859527588,1.0126185269047423,arbsub/800M/seed_2/grmoe/stats.jsonl
grmoe,800M,806509504,seed_2,core+papers-cyber,papers-nuclear,forget,2.817317485809326,0.6606327791695866,arbsub/800M/seed_2/grmoe/stats.jsonl
grmoe,800M,806509504,seed_2,core+papers-nuclear,code-lisp,forget,1.651613712310791,0.05718224825922621,arbsub/800M/seed_2/grmoe/stats.jsonl
grmoe,800M,806509504,seed_2,core+papers-nuclear,core,core,1.8835680484771729,0.9485316683908352,arbsub/800M/seed_2/grmoe/stats.jsonl
grmoe,800M,806509504,seed_2,core+papers-nuclear,papers-biology,forget,2.4512276649475098,0.6991538352367245,arbsub/800M/seed_2/grmoe/stats.jsonl
grmoe,800M,806509504,seed_2,core+papers-nuclear,papers-cyber,forget,2.6990885734558105,0.7825325743564764,arbsub/800M/seed_2/grmoe/stats.jsonl
